Year,Artist
2015,The National
2015,Katy Perry
2015,Run The Jewels
2015,Craig David
2015,Jools Holland & His Rhythm & Blues Orchestra
2015,Vieux Farka Touré
2015,The Bootleg Beatleswith The Pepperland Sinfonia
2015,Ed Sheeran
2015,Biffy Clyro
2015,Chic
2015,Barry Gibb
2015,Laura Marling
2015,Jamie Cullum
2015,Orchestra Baobab
2015,Black Dyke Band
2015,Major Lazer
2015,Lorde
2015,George Ezra
2015,Halsey
2015,Glass Animals
2015,Circa Waves
2015,Nothing But Thieves
2015,Charli XCX
2015,The Pretenders
2015,Alt-J
2015,Stormzy
2015,Wiley
2015,Liam Gallagher
2015,Kaiser Chiefs
2015,Wild Beasts
2015,British Sea Power
2015,Whitney
2015,Gabrielle Aplin
2015,Boy Better Know
2015,Emeli Sandé
2015,The Courteeners
2015,HAIM
2015,Kodaline
2015,Rag'n'Bone Man
2015,Dropkick Murphys
2015,Deaf Havana
2015,Slaves
2015,Dizzee Rascal
2015,Anderson Paak& The Free Nationals
2015,Little Dragon
2015,Kae Tempest
2015,Pat Thomas& The Kwashibu Area Band
2015,Ata Kak
2015,Henry Wupresents TheKamaal Williams Ensemble
2015,Hot 8 Brass Band
2015,The Jacksons
2015,Solange
2015,The Avalanches
2015,Toots & The Maytals
2015,Badbadnotgood
2015,Thundercat
2015,Afriquoi
2015,Khruangbin
2015,Justice
2015,Moderat
2015,The Cinematic Orchestra
2015,Shaggy
2015,Oumou Sangaré
2015,Yorkston/Thorne/Khan
2015,Ryley Walker
2015,House Gospel Choir
2015,Annie Mac
2015,Clean Bandit
2015,Future Islands
2015,Ride
2015,Declan McKenna
2015,The Lemon Twigs
2015,Dua Lipa
2015,Black Honey
2015,Rews
2015,Dam
2015,Phoenix
2015,Father John Misty
2015,DJ Shadow
2015,Tove Lo
2015,Loyle Carner
2015,Cabbage
2015,The Amazons
2015,Inheaven
2015,Maggie Rogers
2015,Josh Barry
2015,Metronomy
2015,London Grammar
2015,Goldfrapp
2015,"The Killers(secret show, listed in programme as TBA)"
2015,Frank Carter and the Rattlesnakes
2015,King Gizzard and the Lizard Wizard
2015,Real Estate
2015,Sundara Karma
2015,October Drift
2015,The Flaming Lips
2015,Sleaford Mods
2015,Elbow(secret band originally billed as 'TBA')
2015,Angel Olsen
2015,Mark Lanegan
2015,Hamilton Leithauser
2015,Margo Price
2015,Bo Ningen
2015,Georgia
2015,Warpaint
2015,Joe Goddard
2015,Songhoy Blues
2015,Temples
2015,Nadia Rose
2015,Sigrid
2015,The Moonlandingz
2015,Amber Arcades
2015,Kelsey Lu
2015,Kano
2015,Sampha
2015,Nick Mulvey
2015,Lisa Hannigan
2015,Julia Jacklin
2015,All We Are
2015,Dr. Dog
2015,She Drew the Gun
2015,Avalonian Choir
2015,Stormzy[A]
2015,George Ezra
2015,Lauryn Hill
2015,Bastille[B]
2015,Sheryl Crow
2015,Tom Odell
2015,Björn Again
2015,The Killers[C]
2015,Liam Gallagher
2015,Janet Jackson
2015,Hozier
2015,Anne-Marie
2015,Carrie Underwood
2015,The Proclaimers
2015,The Cure
2015,Vampire Weekend
2015,Miley Cyrus[E]
2015,Kylie Minogue[D]
2015,Years & Years
2015,Mavis Staples
2015,Tame Impala
2015,Two Door Cinema Club
2015,The Charlatans
2015,The Lumineers
2015,Mac Demarco
2015,The Wombats
2015,MØ
2015,The Vaccines
2015,The Chemical Brothers
2015,Courteeners
2015,Sigrid
2015,Johnny Marr
2015,Lewis Capaldi
2015,Maggie Rogers
2015,Fantastic Negrito
2015,The Cat Empire
2015,Christine and the Queens
2015,Dave
2015,Billie Eilish
2015,Loyle Carner
2015,Bring Me the Horizon
2015,Babymetal
2015,Slaves
2015,Circa Waves
2015,SK Shlomo
2015,Jon Hopkins
2015,Jorja Smith
2015,Maribou State
2015,The Comet Is Coming
2015,BCUC
2015,Swindle
2015,Acid Mothers Temple
2015,The Mauskovic Dance Band
2015,Wu-Tang Clan
2015,Jungle
2015,Neneh Cherry
2015,Lizzo
2015,Slowthai
2015,Ezra Collective
2015,Grupo Magnetico
2015,The Turbans (music group)
2015,Janelle Monáe
2015,Kamasi Washington
2015,Roy Ayers
